,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
89,448,34687,34708,2.2126330386589093,2.220994423375857,2.205508077719901,2.220994423375857,3.3486473325943518,0.39725302059831513,0.00337817391946364,2023-12-16 07:00:00,2023-12-17 04:00:00,0 days 21:00:00,
90,449,34709,34709,2.210318561103316,2.2088797422154127,2.2088797422154127,2.2243660878713687,-1.0428736883065106,0.39684400763802186,-0.0010508252472926647,2023-12-17 05:00:00,2023-12-17 05:00:00,0 days 00:00:00,
91,448,34720,34723,2.2131434501203273,2.2092972069884595,2.2092972069884595,2.2247835526444155,-2.1193676059537063,0.3962506828769473,-0.0021375619655528426,2023-12-17 16:00:00,2023-12-17 19:00:00,0 days 03:00:00,
92,448,34724,34725,2.214933469190365,2.209495325374685,2.209495325374685,2.224981671030641,-2.8327172494177066,0.3964288199930285,-0.002854726637411951,2023-12-17 20:00:00,2023-12-17 21:00:00,0 days 01:00:00,
93,448,34731,34734,2.212698191496788,2.2081367833618115,2.2081367833618115,2.2236231290177675,-2.4396176582167115,0.3961068137473305,-0.002461056438187082,2023-12-18 03:00:00,2023-12-18 06:00:00,0 days 03:00:00,
94,448,34737,34738,2.2117528346161945,2.222354653386011,2.206868307730055,2.222354653386011,4.352318777952683,0.3972960309249976,0.004392442555138331,2023-12-18 09:00:00,2023-12-18 10:00:00,0 days 01:00:00,
95,448,34739,34745,2.2112912763394523,2.2228405190012874,2.2073541733453315,2.2228405190012874,4.7767625036395955,0.3972982088625303,0.0048218054386835385,2023-12-18 11:00:00,2023-12-18 17:00:00,0 days 06:00:00,
96,447,34746,34761,2.2190458885075204,2.230178961243724,2.2140546821870632,2.229541027843019,4.578722811515331,0.3977607015677613,0.004616050447313091,2023-12-18 18:00:00,2023-12-19 09:00:00,0 days 15:00:00,
97,445,34767,34769,2.2273061537698795,2.2213681584560967,2.2213681584560967,2.2368545041120527,-3.038339928421461,0.39593201378811194,-0.003065465501754899,2023-12-19 15:00:00,2023-12-19 17:00:00,0 days 02:00:00,
98,447,34777,34786,2.2211249265866515,2.2309206153249175,2.2154342696689615,2.2309206153249175,3.9806599945579957,0.3980128714468943,0.004009355585220955,2023-12-20 01:00:00,2023-12-20 10:00:00,0 days 09:00:00,
99,446,34789,34794,2.226407425526011,2.2210195023883195,2.2210195023883195,2.2365058480442754,-2.7997242013803363,0.3967104819699583,-0.0028195237094985753,2023-12-20 13:00:00,2023-12-20 18:00:00,0 days 05:00:00,
100,447,34799,34800,2.218021966194801,2.216420346590292,2.216420346590292,2.231906692246248,-1.1123631059785088,0.3964391427629873,-0.0011219492435122892,2023-12-20 23:00:00,2023-12-21 00:00:00,0 days 01:00:00,
101,447,34801,34803,2.2205251441305944,2.2283842931463815,2.2128979474904256,2.2283842931463815,3.1153071063642734,0.39773250369256163,0.0031386121191888257,2023-12-21 01:00:00,2023-12-21 03:00:00,0 days 02:00:00,
102,446,34804,34808,2.225024502311287,2.218577023069023,2.218577023069023,2.234063368724979,-3.271944998113751,0.3963692560639237,-0.0032971320269595764,2023-12-21 04:00:00,2023-12-21 08:00:00,0 days 04:00:00,
103,448,34819,34820,2.211977558177439,2.2104282792838825,2.2104282792838825,2.2259146249398385,-1.0903245073498438,0.3962475630365344,-0.001100264354876205,2023-12-21 19:00:00,2023-12-21 20:00:00,0 days 01:00:00,
104,448,34822,34824,2.2159065422297584,2.20681450827057,,2.22454041849917,-4.4695070198411555,0.3962758061248295,-0.004502255839386288,2023-12-21 22:00:00,2023-12-22 00:00:00,0 days 02:00:00,
105,448,34833,34834,2.21147836669086,2.206986004531489,2.206986004531489,2.222472350187445,-2.4084726550596756,0.3958944076615225,-0.0024309778990331712,2023-12-22 09:00:00,2023-12-22 10:00:00,0 days 01:00:00,
106,449,34838,34843,2.2081842461090733,2.2038033687705743,2.2038033687705743,2.2192897144265302,-2.363210412802249,0.3961964878161924,-0.0023835306635980012,2023-12-22 14:00:00,2023-12-22 19:00:00,0 days 05:00:00,
107,449,34854,34862,2.2080303684951477,2.203821813601252,2.203821813601252,2.219308159257208,-2.285825473311331,0.3961843259522567,-0.002305640992512405,2023-12-23 06:00:00,2023-12-23 14:00:00,0 days 08:00:00,
108,449,34872,34876,2.2043692072374785,2.201679820228485,2.201679820228485,2.217166165884441,-1.6031979697045071,0.39566320266644356,-0.0016197816603332133,2023-12-24 00:00:00,2023-12-24 04:00:00,0 days 04:00:00,
109,449,34883,34883,2.2073589313525264,2.2047394710180708,2.2047394710180708,2.2202258166740267,-1.5723441267034406,0.3962064365328797,-0.0015864569940077526,2023-12-24 11:00:00,2023-12-24 11:00:00,0 days 00:00:00,
110,450,34891,34891,2.202397159459775,2.200180844087879,2.200180844087879,2.215667189743835,-1.393573937672456,0.3962320203192889,-0.0014061183103619152,2023-12-24 19:00:00,2023-12-24 19:00:00,0 days 00:00:00,
111,449,34899,34903,2.205895107848431,2.2133475848513666,2.1978612391954107,2.2133475848513666,2.9493141805136465,0.39684799380444186,0.002977761019109592,2023-12-25 03:00:00,2023-12-25 07:00:00,0 days 04:00:00,
112,449,34914,34921,2.2064670838331177,2.2022396848974592,2.2022396848974592,2.217726030553415,-2.2940039899426674,0.39590186783200587,-0.002315529801844493,2023-12-25 18:00:00,2023-12-26 01:00:00,0 days 07:00:00,
113,450,34927,34928,2.198985398472895,2.1956189058992295,2.1956189058992295,2.2111052515551854,-1.9104360455430174,0.3955143873934912,-0.001930623749247357,2023-12-26 07:00:00,2023-12-26 08:00:00,0 days 01:00:00,
114,450,34930,34931,2.201749780408504,2.1941155906720846,2.1941155906720846,2.2096019363280406,-3.8310132647859754,0.39562788339725297,-0.003866635022012378,2023-12-26 10:00:00,2023-12-26 11:00:00,0 days 01:00:00,
115,451,34934,34934,2.195026422254569,2.192663852032305,2.192663852032305,2.208150197688261,-1.461288832981662,0.39576966274067604,-0.0014761135648623444,2023-12-26 14:00:00,2023-12-26 14:00:00,0 days 00:00:00,
116,450,34936,34937,2.196779319592034,2.1912175723026306,,2.2067101152172883,-2.897706000502048,0.3949197202705198,-0.0029312669735885102,2023-12-26 16:00:00,2023-12-26 17:00:00,0 days 01:00:00,
117,453,34945,34947,2.1836559544535183,2.177792756395238,2.177792756395238,2.193279102051194,-3.0511759736038155,0.39514725320289734,-0.0030845004620407277,2023-12-27 01:00:00,2023-12-27 03:00:00,0 days 02:00:00,
118,453,34949,34960,2.1837112865283252,2.190995123065689,2.1755087774097333,2.190995123065689,2.903229550716663,0.39634840070921773,0.002934863823337196,2023-12-27 05:00:00,2023-12-27 16:00:00,0 days 11:00:00,
119,452,34962,34963,2.1871951260592164,2.1821409298692447,2.1821409298692447,2.1976272755252007,-2.6794846573231483,0.3949879794559329,-0.0027103495845102812,2023-12-27 18:00:00,2023-12-27 19:00:00,0 days 01:00:00,
120,453,34973,34975,2.1820693972938026,2.176046349957988,2.176046349957988,2.191532695613944,-3.1232857298250774,0.39484528670101227,-0.0031596934972901404,2023-12-28 05:00:00,2023-12-28 07:00:00,0 days 02:00:00,
121,452,34983,34984,2.185624646470187,2.1802054480472655,2.1802054480472655,2.1956917937032214,-2.844148727704891,0.39467104054437774,-0.0028789776195044564,2023-12-28 15:00:00,2023-12-28 16:00:00,0 days 01:00:00,
122,452,34988,34990,2.1870970214930887,2.1791459068523276,2.1791459068523276,2.1946322525082835,-3.9886121783464645,0.39470836072242566,-0.004034737892151632,2023-12-28 20:00:00,2023-12-28 22:00:00,0 days 02:00:00,
123,451,35002,35002,2.1879802061250846,2.1827339675321578,2.1827339675321578,2.1982203131881137,-2.760292023873885,0.3942384184638833,-0.002797274587093953,2023-12-29 10:00:00,2023-12-29 10:00:00,0 days 00:00:00,
